REGISTRY_ID,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
110054076389,INTERNATIONAL PAPER,5,2.0,http://echo.epa.gov/detailed-facility-report?fid=110054076389,34.253516999999995,-85.32901600000001
110031488940,"GENERAL SHALE BRICK, INC. - PLANT 40",2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110031488940,34.25772,-85.30096
110033182981,"LIFOAM INDUSTRIES, INC.",2,1.0,http://echo.epa.gov/detailed-facility-report?fid=110033182981,34.206883000000005,-85.17604
110000745338,MANNINGTON COMMERCIAL,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000745338,34.456944,-84.93812700000001
110022814775,"LG HAUSYS AMERICA, INC.",1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110022814775,34.4251,-84.9227
110001322676,SECOA METAL FINISHING,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110001322676,34.732874,-84.954603
110013763025,GEORGIA PACIFIC WOOD PRODUCTS SOUTH LLC LUMBER PLANT (ROME),1,,http://echo.epa.gov/detailed-facility-report?fid=110013763025,34.2555,-85.32616999999999
110018863023,ETC OF GEORGIA - GRADY ROAD LANDFILL,1,,http://echo.epa.gov/detailed-facility-report?fid=110018863023,33.995540000000005,-85.16728
110057611589,J.P. SMITH LUMBER COMPANY,1,,http://echo.epa.gov/detailed-facility-report?fid=110057611589,34.483709999999995,-85.44626
110014397777,PREMIER POLYMERS,1,,http://echo.epa.gov/detailed-facility-report?fid=110014397777,34.7795,-84.81015
110041528326,BEAULIEU PLANT 830,1,,http://echo.epa.gov/detailed-facility-report?fid=110041528326,34.8003,-84.96616
110031073978,MCCARTHY IMPROVEMENT CONCRETE BATCH PLANT,1,,http://echo.epa.gov/detailed-facility-report?fid=110031073978,34.235316,-85.294523
110067157383,"TYSON FOODS, INC.",0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110067157383,34.222609999999996,-85.18256
110012621617,"KIMOTO TECH, INCORPORATED",0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110012621617,34.0047,-85.2711
110020516896,PINE HALL BRICK CO INC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110020516896,34.447105,-84.74316999999999
110013936447,GORDON COUNTY / RED BONE RIDGES MSW COMPLEX,0,,http://echo.epa.gov/detailed-facility-report?fid=110013936447,34.506840000000004,-84.763593
110001426136,DISPLAY CRAFT INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110001426136,34.580528,-84.943268
110000359219,"SOUTHERN CHEMICAL & TEXTILES, INC.",0,,http://echo.epa.gov/detailed-facility-report?fid=110000359219,34.71498,-84.95588000000001
110043323490,BUSTER GOSS BODY SHOP,0,,http://echo.epa.gov/detailed-facility-report?fid=110043323490,34.32614,-85.08245
110067247090,CUSTOM SEASONING SOLUTIONS,0,,http://echo.epa.gov/detailed-facility-report?fid=110067247090,34.21083,-85.17556
