"","CD.State","Num.per.1000","Region","Per100"
"1","AL1",363,"Congressional District",36.3
"2","AL2",396,"Congressional District",39.6
"3","AL3",335,"Congressional District",33.5
"4","AL4",500,"Congressional District",50
"5","AL5",209,"Congressional District",20.9
"6","AL6",426,"Congressional District",42.6
"7","AL7",632,"Congressional District",63.2
"8","AR1",1813,"Congressional District",181.3
"9","AR2",2223,"Congressional District",222.3
"10","AR3",801,"Congressional District",80.1
"11","AR4",2048,"Congressional District",204.8
"12","AS0",31182,"Congressional District",3118.2
"13","AZ1",909,"Congressional District",90.9
"14","AZ2",2189,"Congressional District",218.9
"15","AZ3",789,"Congressional District",78.9
"16","AZ4",1254,"Congressional District",125.4
"17","AZ5",0,"Congressional District",0
"18","AZ6",33,"Congressional District",3.3
"19","AZ7",700,"Congressional District",70
"20","AZ8",647,"Congressional District",64.7
"21","AZ9",125,"Congressional District",12.5
"22","CA1",4134,"Congressional District",413.4
"23","CA10",1854,"Congressional District",185.4
"24","CA12",1733,"Congressional District",173.3
"25","CA13",378,"Congressional District",37.8
"26","CA14",386,"Congressional District",38.6
"27","CA15",713,"Congressional District",71.3
"28","CA16",1122,"Congressional District",112.2
"29","CA17",537,"Congressional District",53.7
"30","CA18",1016,"Congressional District",101.6
"31","CA19",802,"Congressional District",80.2
"32","CA2",1628,"Congressional District",162.8
"33","CA20",1532,"Congressional District",153.2
"34","CA21",833,"Congressional District",83.3
"35","CA22",1302,"Congressional District",130.2
"36","CA23",1311,"Congressional District",131.1
"37","CA24",1404,"Congressional District",140.4
"38","CA25",1196,"Congressional District",119.6
"39","CA26",1220,"Congressional District",122
"40","CA27",1362,"Congressional District",136.2
"41","CA28",1787,"Congressional District",178.7
"42","CA29",2030,"Congressional District",203
"43","CA3",2329,"Congressional District",232.9
"44","CA30",1378,"Congressional District",137.8
"45","CA31",925,"Congressional District",92.5
"46","CA32",1548,"Congressional District",154.8
"47","CA34",1580,"Congressional District",158
"48","CA35",1713,"Congressional District",171.3
"49","CA36",2302,"Congressional District",230.2
"50","CA37",667,"Congressional District",66.7
"51","CA38",1246,"Congressional District",124.6
"52","CA39",3367,"Congressional District",336.7
"53","CA4",3731,"Congressional District",373.1
"54","CA40",1571,"Congressional District",157.1
"55","CA41",1476,"Congressional District",147.6
"56","CA42",1473,"Congressional District",147.3
"57","CA43",880,"Congressional District",88
"58","CA44",1732,"Congressional District",173.2
"59","CA45",1611,"Congressional District",161.1
"60","CA46",3297,"Congressional District",329.7
"61","CA47",2356,"Congressional District",235.6
"62","CA48",2218,"Congressional District",221.8
"63","CA49",1168,"Congressional District",116.8
"64","CA5",754,"Congressional District",75.4
"65","CA50",1064,"Congressional District",106.4
"66","CA51",2304,"Congressional District",230.4
"67","CA52",1017,"Congressional District",101.7
"68","CA53",883,"Congressional District",88.3
"69","CA6",1791,"Congressional District",179.1
"70","CA7",4289,"Congressional District",428.9
"71","CA8",1808,"Congressional District",180.8
"72","CA9",2632,"Congressional District",263.2
"73","CO1",1709,"Congressional District",170.9
"74","CO2",1623,"Congressional District",162.3
"75","CO3",2570,"Congressional District",257
"76","CO4",1710,"Congressional District",171
"77","CO5",1627,"Congressional District",162.7
"78","CO6",463,"Congressional District",46.3
"79","CO7",1338,"Congressional District",133.8
"80","CT1",466,"Congressional District",46.6
"81","CT2",832,"Congressional District",83.2
"82","CT3",683,"Congressional District",68.3
"83","CT4",1044,"Congressional District",104.4
"84","CT5",721,"Congressional District",72.1
"85","DC0",397,"Congressional District",39.7
"86","DE0",1051,"Congressional District",105.1
"87","FL1",379,"Congressional District",37.9
"88","FL10",131,"Congressional District",13.1
"89","FL11",152,"Congressional District",15.2
"90","FL12",161,"Congressional District",16.1
"91","FL13",366,"Congressional District",36.6
"92","FL14",207,"Congressional District",20.7
"93","FL15",227,"Congressional District",22.7
"94","FL16",198,"Congressional District",19.8
"95","FL17",319,"Congressional District",31.9
"96","FL18",227,"Congressional District",22.7
"97","FL2",313,"Congressional District",31.3
"98","FL20",107,"Congressional District",10.7
"99","FL21",113,"Congressional District",11.3
"100","FL22",113,"Congressional District",11.3
"101","FL23",62,"Congressional District",6.2
"102","FL24",32,"Congressional District",3.2
"103","FL25",45,"Congressional District",4.5
"104","FL26",53,"Congressional District",5.3
"105","FL27",72,"Congressional District",7.2
"106","FL3",195,"Congressional District",19.5
"107","FL4",224,"Congressional District",22.4
"108","FL5",274,"Congressional District",27.4
"109","FL6",301,"Congressional District",30.1
"110","FL7",104,"Congressional District",10.4
"111","FL8",149,"Congressional District",14.9
"112","FL9",167,"Congressional District",16.7
"113","GA1",581,"Congressional District",58.1
"114","GA10",247,"Congressional District",24.7
"115","GA11",173,"Congressional District",17.3
"116","GA12",345,"Congressional District",34.5
"117","GA13",82,"Congressional District",8.2
"118","GA14",297,"Congressional District",29.7
"119","GA2",787,"Congressional District",78.7
"120","CA11",779,"Congressional District",77.9
"121","CA33",1259,"Congressional District",125.9
"122","FL19",182,"Congressional District",18.2
"123","GA3",194,"Congressional District",19.4
"124","IL17",5032,"Congressional District",503.2
"125","KY3",642,"Congressional District",64.2
"126","MD5",1320,"Congressional District",132
"127","MN4",25,"Congressional District",2.5
"128","NC2",363,"Congressional District",36.3
"129","NJ8",1671,"Congressional District",167.1
"130","NY23",2844,"Congressional District",284.4
"131","OH7",2949,"Congressional District",294.9
"132","PA4",612,"Congressional District",61.2
"133","TN9",194,"Congressional District",19.4
"134","TX30",51,"Congressional District",5.1
"135","VA5",434,"Congressional District",43.4
"136","GA4",409,"Congressional District",40.9
"137","GA5",379,"Congressional District",37.9
"138","GA6",101,"Congressional District",10.1
"139","GA7",125,"Congressional District",12.5
"140","GA8",510,"Congressional District",51
"141","GA9",223,"Congressional District",22.3
"142","GU0",2487,"Congressional District",248.7
"143","HI1",1704,"Congressional District",170.4
"144","HI2",753,"Congressional District",75.3
"145","IA1",5402,"Congressional District",540.2
"146","IA2",4553,"Congressional District",455.3
"147","IA3",4022,"Congressional District",402.2
"148","IA4",2865,"Congressional District",286.5
"149","ID1",1566,"Congressional District",156.6
"150","ID2",1627,"Congressional District",162.7
"151","IL1",1890,"Congressional District",189
"152","IL10",1604,"Congressional District",160.4
"153","IL11",2069,"Congressional District",206.9
"154","IL12",3903,"Congressional District",390.3
"155","IL13",4234,"Congressional District",423.4
"156","IL14",2181,"Congressional District",218.1
"157","IL15",4799,"Congressional District",479.9
"158","IL16",3968,"Congressional District",396.8
"159","IL18",5241,"Congressional District",524.1
"160","IL2",1820,"Congressional District",182
"161","IL3",1248,"Congressional District",124.8
"162","IL4",750,"Congressional District",75
"163","IL5",848,"Congressional District",84.8
"164","IL6",1783,"Congressional District",178.3
"165","IL7",484,"Congressional District",48.4
"166","IL8",1581,"Congressional District",158.1
"167","IL9",1157,"Congressional District",115.7
"168","IN1",773,"Congressional District",77.3
"169","IN2",614,"Congressional District",61.4
"170","IN3",777,"Congressional District",77.7
"171","IN4",738,"Congressional District",73.8
"172","IN5",405,"Congressional District",40.5
"173","IN6",1290,"Congressional District",129
"174","IN7",78,"Congressional District",7.8
"175","IN8",1153,"Congressional District",115.3
"176","IN9",642,"Congressional District",64.2
"177","KS1",431,"Congressional District",43.1
"178","KS2",415,"Congressional District",41.5
"179","KS3",89,"Congressional District",8.9
"180","KS4",162,"Congressional District",16.2
"181","KY1",1703,"Congressional District",170.3
"182","KY2",1250,"Congressional District",125
"183","KY4",748,"Congressional District",74.8
"184","KY5",1768,"Congressional District",176.8
"185","KY6",1370,"Congressional District",137
"186","LA1",1461,"Congressional District",146.1
"187","LA2",1629,"Congressional District",162.9
"188","LA3",1983,"Congressional District",198.3
"189","LA4",3616,"Congressional District",361.6
"190","LA5",3264,"Congressional District",326.4
"191","LA6",2281,"Congressional District",228.1
"192","MA1",308,"Congressional District",30.8
"193","MA2",904,"Congressional District",90.4
"194","MA3",294,"Congressional District",29.4
"195","MA4",527,"Congressional District",52.7
"196","MA5",376,"Congressional District",37.6
"197","MA6",247,"Congressional District",24.7
"198","MA7",106,"Congressional District",10.6
"199","MA8",402,"Congressional District",40.2
"200","MA9",314,"Congressional District",31.4
"201","MD1",1028,"Congressional District",102.8
"202","MD2",686,"Congressional District",68.6
"203","MD3",408,"Congressional District",40.8
"204","MD4",529,"Congressional District",52.9
"205","MD6",808,"Congressional District",80.8
"206","MD7",525,"Congressional District",52.5
