REGISTRY_ID,FAC_NAME,noncomp_count,CAA_FORMAL_ACTION_COUNT,DFR_URL,FAC_LAT,FAC_LONG
110003253121,AGC FLAT GLASS N AMERICA INC,12,1.0,http://echo.epa.gov/detailed-facility-report?fid=110003253121,37.70035,-84.26846
110000379279,ENERSYS RICHMOND,9,2.0,http://echo.epa.gov/detailed-facility-report?fid=110000379279,37.737539,-84.276914
110069993101,CENTRAL KY LANDFILL,1,1.0,http://echo.epa.gov/detailed-facility-report?fid=110069993101,38.352264,-84.54464
110006015702,BENSON VALLEY LANDFILL GEN PRT,1,,http://echo.epa.gov/detailed-facility-report?fid=110006015702,38.130462,-84.98666
110007366448,KENTUCKY STATE UNIVERSITY,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110007366448,38.19972,-84.85646
110003232243,MCKINNEY PAINTING INC,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110003232243,38.06629,-84.72059
110000379046,LEDVANCE LLC - GLASS PLANT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000379046,38.04449,-84.75366
110000746970,LEDVANCE LLC - LAMP PLANT,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110000746970,38.0469,-84.7515
110003240573,VUTEQ USA INC KENTUCKY DIVISION,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110003240573,38.19958,-84.54298
110024831244,PILKINGTON LEXINGTON,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110024831244,38.070211,-84.478015
110002447594,SHERWIN-WILLIAMS CO,0,1.0,http://echo.epa.gov/detailed-facility-report?fid=110002447594,37.720278,-84.285833
110030750550,W W WELDING INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110030750550,37.950520000000004,-83.74158
110043544144,LEXMARK INTERNATIONAL INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110043544144,38.07287,-84.48437
110054890276,TAICA CUBIC PRINTING KENTUCKY LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110054890276,38.02502,-84.18146
110056295147,HAYASHI TELEMPU NORTH AMERICA CORP,0,,http://echo.epa.gov/detailed-facility-report?fid=110056295147,38.16236,-84.82428
110008359542,EAST KENTUCKY POWER COOPERATIVE (DALE PLANT),0,,http://echo.epa.gov/detailed-facility-report?fid=110008359542,37.880493,-84.26214300000001
110000379439,SCHNEIDER ELECTRIC USA INC,0,,http://echo.epa.gov/detailed-facility-report?fid=110000379439,38.07563,-84.52338
110031500775,TRANSKENTUCKY TRANSPORTATION RAILROAD,0,,http://echo.epa.gov/detailed-facility-report?fid=110031500775,38.206269,-84.2521
110006751041,FREEMAN CORPORATION,0,,http://echo.epa.gov/detailed-facility-report?fid=110006751041,38.006494,-84.18188
110001146634,QG PRINTING II LLC,0,,http://echo.epa.gov/detailed-facility-report?fid=110001146634,38.057759999999995,-84.71345
